age,two_year_recid,priors_count,length_of_stay,c_charge_degree_F,c_charge_degree_M,sex_Female,sex_Male,race,unrelated_column_one,unrelated_column_two,is_not_ood
0.46,-0.92,-0.48,-0.3,-1.35,-0.74,-0.48,0.48,-1.03,-1.01,1.0,0
0.72,-0.92,1.81,0.81,0.74,-0.74,-0.48,0.48,-1.03,0.99,1.0,1
-0.64,1.09,-0.68,-0.28,0.74,-0.74,2.08,-2.08,-1.03,0.99,1.0,1
-0.81,-0.92,-0.27,-0.15,-1.35,-0.74,-0.48,0.48,0.97,0.99,-1.0,0
-0.56,-0.92,-0.68,-0.32,0.74,-0.74,-0.48,0.48,0.97,-1.01,-1.0,1
-0.47,1.09,-0.68,-0.32,0.74,-0.74,-0.48,0.48,-1.03,-1.01,1.0,1
-0.9,1.09,0.36,-0.3,0.74,-0.74,-0.48,0.48,0.97,-1.01,1.0,1
-0.13,-0.92,-0.06,-0.32,0.74,-0.74,-0.48,0.48,0.97,-1.01,1.0,1
1.15,-0.92,-0.68,-0.3,0.74,-0.74,2.08,-2.08,-1.03,0.99,-1.0,1
-0.3,-0.92,-0.48,-0.3,0.74,-0.74,-0.48,0.48,-1.03,-1.01,1.0,1
-0.47,1.09,-0.27,-0.15,0.74,-0.74,2.08,-2.08,-1.03,0.99,-1.0,1
-0.81,-0.92,-0.27,-0.32,0.74,-0.74,-0.48,-2.08,-1.03,0.99,-1.0,0
0.89,1.09,0.98,-0.32,-1.35,-0.74,2.08,0.48,-1.03,0.99,-1.0,0
0.46,1.09,0.15,0.4,0.74,-0.74,-0.48,0.48,-1.03,0.99,1.0,1
-0.05,1.09,0.36,-0.28,0.74,-0.74,-0.48,0.48,0.97,0.99,1.0,1
-0.05,1.09,-0.27,-0.32,0.74,-0.74,-0.48,0.48,-1.03,-1.01,-1.0,1
0.21,-0.92,-0.68,-0.21,-1.35,1.35,-0.48,0.48,-1.03,-1.01,1.0,0
-1.15,1.09,-0.48,0.12,0.74,-0.74,-0.48,0.48,0.97,0.99,-1.0,1
1.49,-0.92,-0.27,-0.3,0.74,-0.74,-0.48,0.48,-1.03,0.99,-1.0,1
3.11,-0.92,-0.06,-0.32,-1.35,1.35,-0.48,0.48,-1.03,0.99,1.0,1
0.81,1.09,-0.48,-0.32,0.74,-0.74,-0.48,0.48,-1.03,-1.01,-1.0,1
-1.07,1.09,-0.68,1.23,0.74,-0.74,-0.48,0.48,0.97,0.99,1.0,1
1.57,-0.92,1.6,2.07,0.74,-0.74,-0.48,0.48,0.97,0.99,1.0,1
-0.56,1.09,-0.68,-0.3,-1.35,1.35,-0.48,0.48,-1.03,-1.01,1.0,1
-0.05,1.09,1.6,-0.32,0.74,-0.74,-0.48,0.48,0.97,-1.01,-1.0,1
-0.9,1.09,-0.27,0.2,-1.35,1.35,-0.48,0.48,0.97,0.99,1.0,1
1.4,-0.92,-0.68,-0.34,-1.35,1.35,-0.48,0.48,-1.03,0.99,-1.0,1
-0.9,1.09,-0.06,-0.32,0.74,-0.74,-0.48,0.48,0.97,0.99,-1.0,1
1.66,-0.92,-0.68,-0.28,0.74,-0.74,-0.48,0.48,-1.03,-1.01,-1.0,1
-0.47,-0.92,-0.27,-0.3,-1.35,1.35,-0.48,0.48,0.97,0.99,1.0,1
-0.81,-0.92,-0.68,-0.3,-1.35,1.35,2.08,-2.08,-1.03,-1.01,1.0,1
-0.81,-0.92,-0.48,-0.32,0.74,-0.74,-0.48,0.48,0.97,0.99,1.0,1
0.98,1.09,2.85,-0.19,0.74,-0.74,-0.48,0.48,0.97,0.99,1.0,1
