ForeignWorker,Age,LoanAmount,NumberOfLiableIndividuals,Gender,CheckingAccountBalance_geq_200,LoanDuration,YearsAtCurrentHome,HasGuarantor,NumberOfOtherLoansAtBank,OtherLoansAtStore,LoanRateAsPercentOfIncome,is_not_ood
-0.2,-0.57,-0.24,-0.42,0.68,-0.26,-0.2,-0.77,-0.24,-0.7,0.0,0.92,0
-0.2,-0.05,1.45,-0.42,0.68,-0.26,1.05,-0.77,-0.24,1.04,0.0,0.03,1
-0.2,1.44,-0.5,-0.42,0.68,-0.26,-0.16,-0.11,-0.24,0.39,0.0,0.92,0
-0.2,1.18,-0.37,-0.39,0.68,-0.26,-0.01,0.02,-0.24,-0.7,0.0,0.92,0
-0.2,-0.48,-0.84,-0.39,-1.48,-0.26,-0.37,-0.59,-0.24,-0.22,0.0,0.92,0
-0.2,-0.13,0.26,-0.42,0.68,-0.26,1.81,0.14,-0.24,-0.7,0.0,0.92,1
-0.2,0.1,-0.37,-0.42,0.68,-0.26,-0.48,-0.23,4.12,-0.22,0.0,0.92,0
-0.2,0.28,0.98,0.15,-1.48,-0.26,1.73,0.86,-0.24,1.04,0.0,-0.86,0
-0.2,0.28,-0.56,2.38,0.68,-0.26,-0.8,-1.69,-0.24,-0.24,0.0,0.03,0
-0.2,0.74,-0.28,-0.42,0.68,-0.26,-0.73,-0.23,-0.24,-0.7,0.0,0.92,0
-0.2,-0.92,-0.11,-0.42,-1.48,-0.26,-0.73,-0.59,-0.24,-0.22,0.0,-1.75,0
-0.2,-0.83,-0.28,-0.42,0.68,-0.26,-1.24,-0.11,4.12,-0.12,0.0,-1.75,0
-0.2,1.44,0.09,2.38,0.68,-0.26,-0.16,0.16,4.12,-0.12,0.0,-1.75,0
-0.2,-0.6,2.14,0.15,-1.48,-0.26,0.28,-0.09,-0.24,-0.15,0.0,0.03,0
-0.2,0.06,-0.12,0.34,0.68,-0.26,-0.21,0.02,-0.24,-0.7,0.0,-0.86,0
-0.2,0.1,-0.36,-0.39,0.68,-0.26,-0.1,0.16,-0.24,1.04,0.0,0.92,0
-0.2,1.44,-0.36,2.38,0.68,-0.26,-0.01,1.05,-0.24,-0.7,0.0,-1.75,0
-0.2,-0.6,0.09,-0.42,0.68,3.88,0.79,-0.11,-0.24,-0.7,0.0,0.92,0
-0.2,0.28,-0.37,-0.42,0.68,3.88,-0.37,-0.09,-0.24,-0.7,0.0,0.03,0
-0.2,-1.36,-0.02,-0.42,-1.48,-0.26,-0.21,0.14,-0.24,-0.22,0.0,-0.86,0
5.05,1.09,-0.7,2.38,0.68,-0.26,-0.99,1.05,4.12,1.04,0.0,0.03,1
-0.2,-1.1,-1.02,-0.42,-1.48,3.88,-0.16,1.05,-0.24,1.33,0.0,0.92,0
-0.2,-0.08,-0.37,0.34,-1.48,-0.26,-0.01,-0.59,-0.24,-0.24,0.0,0.92,0
-0.2,-0.75,-0.37,0.15,0.68,-0.26,-0.04,-0.19,-0.24,1.04,0.0,0.92,0
-0.2,0.28,-0.28,-0.42,0.68,-0.26,-0.16,0.16,-0.24,-0.15,0.0,0.92,0
-0.2,-0.57,-0.24,-0.15,0.68,-0.26,-0.48,1.05,-0.24,1.04,0.0,0.92,0
-0.2,-0.48,-0.33,-0.15,0.68,-0.26,-0.1,-0.59,-0.24,-0.22,0.0,0.92,0
-0.2,-0.12,-0.37,-0.42,-1.48,-0.26,-0.2,-0.09,-0.24,-0.7,0.0,0.92,0
-0.2,1.44,2.69,-0.42,-1.48,-0.26,2.23,-0.09,-0.24,1.33,0.0,-1.75,0
-0.2,-0.57,-0.5,0.15,0.68,-0.26,0.28,-0.09,-0.24,2.78,0.0,-1.75,0
-0.2,0.04,-0.24,-0.42,0.68,-0.26,-0.48,0.86,-0.24,-0.12,0.0,-0.86,0
-0.2,-0.48,-1.03,-0.42,0.68,-0.26,-1.24,0.21,-0.24,-0.7,0.0,0.92,0
-0.2,-0.08,-0.46,0.15,-1.48,3.88,-0.48,0.21,-0.24,-0.7,0.0,0.92,0
-0.2,-0.6,-0.56,-0.42,0.68,-0.26,-0.73,-1.69,-0.24,1.33,0.0,0.03,0
-0.2,0.1,0.36,-0.42,0.68,-0.26,0.28,-0.19,-0.24,-0.23,0.0,-1.75,0
-0.2,-0.6,-0.72,-0.42,-1.48,-0.26,-0.73,-0.77,-0.24,-0.7,0.0,0.92,0
-0.2,-0.57,-0.12,0.15,0.68,-0.26,0.28,-0.77,-0.24,1.04,0.0,0.92,0
